path,size_bytes,sha256
.gitignore,599,b9e3f7340dd2ef16b0280bb76baa940615046e222cda76fa3e9a48485236cace
AGENTS.md,882,4c049b79697ba5825177dee42e0c2197d37e0e3674e3b435f017bbfc79e2749d
catalog/excluded_artifacts.csv,1006,3205ac878c5e73a817905b1b86835f1f985c986c34438299f85510f61738cf99
catalog/experiments.csv,44606,c939428ed767fcd23fb56e16e5f4a478804089a88aae78b844d404af7851524f
catalog/experiments.json,62738,c56c11b315f5bf540b7419b194396107935592fb5d92ca97ffb4bd6052476e75
catalog/README.md,712,5d2bb045b59a84a901c06938bf42e6538ac51e023338d0e5ab8311b8e21e27a8
catalog/source_copy_audit.json,294,77f29a46bc6723ec0c38ab2dbe67c02b91126a5ddc949fa71afa9dcc5327ff7e
COMPETITION.md,24020,119989feb49f84bd9e6839b4215d474a03a44153031c14110964d372f382e09c
docs/BEST_SUBMISSION_HANDOFF.md,12627,c9a2a178c58c80cbaaaba3295463f9d8e0d0e7cdd7bdf3a4b96c3139e68fe3a1
docs/INCLUSION_POLICY.md,1414,49a07964f3857403a25a091e0234757741361a460435c1d2077196b4cfff5095
docs/ORIGINAL_AGENT_GUIDE.md,13612,620605f3cdbc394780f17f33e312e25a41b03df9b5adc3b6aeb1a57116d807e1
docs/ORIGINAL_PROJECT_README.md,7475,fe12499a1351e42d75ff5646bc1b5efb32762d5d7e2d98c5dd5675c9169ef5ce
docs/REPRODUCIBILITY.md,1850,57ee1462ed3d332247fda643881f962e3eb28ba41e44c09aca75a17a1fa7415d
docs/RESULTS_SUMMARY.md,2410,9cedfdd64408d7394181ab352526e7f89fcfc547e7e18422d67f03569ea58e29
docs/TIMELINE.md,3819,8689ae1007a05819da63cb76225c49dfd9bfed43b280d44f20f3b7be91bcaccc
eda/EDA_REPORT.md,56271,4c0163f8af3ce057d1d632cf4b5be9ee853e6358c60a978e9c48a591a2f3b0b2
eda/figures/drift_within_vs_composition.svg,2864,11732e7f0bcabaae9d2256578bff75129d83bbdde37da452c563b8976e82d3e6
eda/figures/numeric_target_correlations.svg,4042,347f340c7bbb26435ff9fd15479f255a960710d935bb53cdc26cd9022863ef9c
eda/figures/pitcher_prior_calibration.svg,3390,32eff60cf41e0988cbc1937ec2951ec3f9c77166047149041908db53463c9164
eda/figures/season_to_date_vs_given.svg,1948,876238d63c2acbdd96263b18146c38754d86a4c53e1f8ef9092d1dc2bc5be1fb
eda/figures/target_rate_by_base_state.svg,2183,6480412948d4596521df1a49290ba96cc412bdcdbac05bce8e5d583d65002155
eda/figures/target_rate_by_count.svg,3682,3f882dd663d61ee04e7605b8b48d03c09298c9f4525cdb78ac261a26104688cf
eda/figures/target_rate_by_season.svg,2644,94d40f022659fa5fd05ca2fb4e9527c2350604f75a001b77145bd934e8ebfb5d
eda/figures/target_rate_by_season_game_type.svg,3051,0f4435f1d2f51f2f0e797954d71cc313e67842ec7a36fa856eb664e4d4964820
eda/figures/trackman_between_within.svg,2930,38ac3cbd4318783b56b5b2fb15ea9affeb528c911bc4124952da7a10768f464e
eda/figures/trackman_missingness.svg,2448,3971e942e91cbc2b85b88edd37cf648f70945b73c0c39bb5ce09bc51c82cb436
eda/figures/trackman_pitch_mix_by_season.svg,4378,593b6faf9f2178fd3831a1c226af202fcfbb3e5c5daedb9c49306978f2905a09
eda/figures/trackman_speed_by_group.svg,2911,6fd68810f6fa3464c6c9b07c1d35e205d0ab347e2c2656c2e5c37e454849e443
eda/figures/train_missingness.svg,3995,8e1cbc3db02264a6d2a0c2566bd4b194b0d856e256555c57580e68919ece12f1
eda/figures/train_rows_by_season.svg,1774,03617e029414b32a30ead5e4f553137c7c70627c29955005172f8e35a3109cde
eda/results/eda_summary.json,157027,171924b665aa19f2c8ea3014bfc9745b243971cc1e8b86e39aceffc4f0116c56
eda/results/structural_summary.json,50985,7bfec64484dbd96b249e6899f48b88a927887276c713ad89915e437b2696fc28
