validation_season,candidate,predicted_prior,standalone_e14_brier,standalone_e14_score,e14_mean_prediction,invalid_rows
2022,all_history,0.5431423520563061,0.24617042984009277,1201.290240938291,0.5271641338406536,0
2022,recent3,0.5431423520563061,0.24617042984009277,1201.290240938291,0.5271641338406536,0
2022,recent2,0.5327368046012114,0.24619860195146334,1189.9835691483008,0.5243619727264032,0
2022,r_recent3,0.5294373194967937,0.24621313874376266,1184.1493333948795,0.5234734382823119,0
2022,r_recent2_f_recent,0.5222326485512971,0.24625425932147704,1167.6458889098296,0.5215332571841237,0
2023,all_history,0.5395365039034485,0.2485739029836667,570.4380791511032,0.5096948576552504,0
2023,recent3,0.5314581931558647,0.24847772560668424,608.9090302255129,0.5075142862688511,0
2023,recent2,0.5308395341313491,0.24847102337830443,611.5899215970555,0.5073472922072368,0
2023,r_recent3,0.5145215247487199,0.24832831580124748,668.6729528374235,0.5029425858653814,0
2023,r_recent2_f_recent,0.5299002327447985,0.24846102800876466,615.5880694422078,0.5070937473475842,0
2024,all_history,0.5315815109059132,0.24870182019927592,442.3842732703687,0.5027424655764622,0
2024,recent3,0.5205942560651817,0.24855864645277875,499.698034884577,0.49973559833724274,0
2024,recent2,0.5144960314160126,0.248492201187259,526.2966830415384,0.4980667054912035,0
2024,r_recent3,0.5065492561807655,0.24841956183961306,555.3748789863033,0.4958919223736823,0
2024,r_recent2_f_recent,0.5138500924852908,0.24848570754183621,528.896148759761,0.4978899322164931,0
